,,,,,Touchdowns,Touchdowns,Touchdowns,Touchdowns,Touchdowns,Touchdowns,Touchdowns,Touchdowns,Kicking,Kicking,Other,Other,,-additional
Rk,Player,School,Conf,G,Rush,Rec,Int,FR,PR,KR,Oth,Tot,XPM,FGM,2PM,Sfty,Pts,-9999
52,John Hoyland*,Wyoming,MWC,13,0,0,0,0,0,0,0,0,28,22,0,0,94,john-hoyland-1
53,Matthew Dennis*,Wake Forest,ACC,13,0,0,0,0,0,0,0,0,57,12,0,0,93,matthew-dennis-1
54,Ryan Fitzgerald*,Florida State,ACC,13,0,0,0,0,0,0,0,0,57,12,0,0,93,ryan-fitzgerald-1
55,Jake Pinegar*,Penn State,Big Ten,13,0,0,0,0,0,0,0,0,57,12,0,0,93,jake-pinegar-1
56,Zeke Rankin*,Middle Tennessee State,CUSA,13,0,0,0,0,0,0,0,0,45,16,0,0,93,zeke-rankin-1
57,Jonathan Cruz*,Ole Miss,SEC,13,0,0,0,0,0,0,0,0,48,15,0,0,93,jonathan-cruz-1
58,Will Shipley*,Clemson,ACC,14,15,0,0,0,0,0,0,15,0,0,1,0,92,will-shipley-1
59,Zakhari Franklin*,UTSA,CUSA,14,0,15,0,0,0,0,0,15,0,0,1,0,92,zakhari-franklin-1
60,Bo Nix*,Oregon,Pac-12,13,14,1,0,0,0,0,0,15,0,0,1,0,92,bo-nix-1
61,Tyler Loop,Arizona,Pac-12,12,0,0,0,0,0,0,0,0,38,18,0,0,92,tyler-loop-1
62,Brooks Buce*,Troy,Sun Belt,14,0,0,0,0,0,0,0,0,41,17,0,0,92,brooks-buce-2
63,Matthew Trickett*,Minnesota,Big Ten,13,0,0,0,0,0,0,0,0,46,15,0,0,91,matthew-trickett-1
64,Blake Grupe*,Notre Dame,Ind,13,0,0,0,0,0,0,0,0,49,14,0,0,91,blake-grupe-1
65,Thomas Cluckey*,Toledo,MAC,14,0,0,0,0,0,0,0,0,52,13,0,0,91,thomas-cluckey-1
66,Carson Steele,Ball State,MAC,12,14,1,0,0,0,0,0,15,0,0,0,0,90,carson-steele-1
67,Samson Evans*,Eastern Michigan,MAC,12,15,0,0,0,0,0,0,15,0,0,0,0,90,samson-evans-1
68,Sieh Bangura*,Ohio,MAC,12,13,2,0,0,0,0,0,15,0,0,0,0,90,sieh-bangura-1
69,Jabari Small*,Tennessee,SEC,13,13,2,0,0,0,0,0,15,0,0,0,0,90,jabari-small-1
70,Jalin Hyatt*,Tennessee,SEC,12,0,15,0,0,0,0,0,15,0,0,0,0,90,jalin-hyatt-1
