,,,,,Touchdowns,Touchdowns,Touchdowns,Touchdowns,Touchdowns,Touchdowns,Touchdowns,Touchdowns,Kicking,Kicking,Other,Other,,-additional
Rk,Player,School,Conf,G,Rush,Rec,Int,FR,PR,KR,Oth,Tot,XPM,FGM,2PM,Sfty,Pts,-9999
224,Justin Marshall*,Buffalo,MAC,13,0,9,0,0,0,0,0,9,0,0,0,0,54,justin-marshall-1
225,Mac Hippenhammer*,Miami (OH),MAC,13,0,9,0,0,0,0,0,9,0,0,0,0,54,mac-hippenhammer-1
226,Sean Tyler,Western Michigan,MAC,12,7,1,0,0,0,1,0,9,0,0,0,0,54,sean-tyler-1
227,Tanner Knue*,Eastern Michigan,MAC,12,0,9,0,0,0,0,0,9,0,0,0,0,54,tanner-knue-1
228,Chevan Cordeiro*,San Jose State,MWC,12,9,0,0,0,0,0,0,9,0,0,0,0,54,chevan-cordeiro-1
229,Tory Horton,Colorado State,MWC,12,0,8,0,0,1,0,0,9,0,0,0,0,54,tory-horton-1
230,Troy Franklin*,Oregon,Pac-12,13,0,9,0,0,0,0,0,9,0,0,0,0,54,troy-franklin-2
231,Anthony Richardson*,Florida,SEC,12,9,0,0,0,0,0,0,9,0,0,0,0,54,anthony-richardson-2
232,Cody Schrader*,Missouri,SEC,13,9,0,0,0,0,0,0,9,0,0,0,0,54,cody-schrader-1
233,Jarquez Hunter,Auburn,SEC,12,7,2,0,0,0,0,0,9,0,0,0,0,54,jarquez-hunter-1
234,Jo'quavious Marks*,Mississippi State,SEC,12,9,0,0,0,0,0,0,9,0,0,0,0,54,joquavious-marks-1
235,K.J. Jefferson*,Arkansas,SEC,11,9,0,0,0,0,0,0,9,0,0,0,0,54,kj-jefferson-1
236,Luther Burden*,Missouri,SEC,13,2,6,0,0,1,0,0,9,0,0,0,0,54,luther-burden-1
237,Will Sheppard,Vanderbilt,SEC,12,0,9,0,0,0,0,0,9,0,0,0,0,54,will-sheppard-1
238,Ali Jennings,Old Dominion,Sun Belt,9,0,9,0,0,0,0,0,9,0,0,0,0,54,ali-jennings-1
239,Frank Gore Jr.*,Southern Mississippi,Sun Belt,13,9,0,0,0,0,0,0,9,0,0,0,0,54,frank-gore-jr-1
240,Jalen Wayne*,South Alabama,Sun Belt,13,0,9,0,0,0,0,0,9,0,0,0,0,54,jalen-wayne-1
241,Kyle Ramsey*,Houston,American,9,0,0,0,0,0,0,0,0,38,5,0,0,53,kyle-ramsey-1
242,Cole Becker,Colorado,Pac-12,12,0,0,0,0,0,0,0,0,20,11,0,0,53,cole-becker-2
243,Cameron Carson,Massachusetts,Ind,12,0,0,0,0,0,0,0,0,13,13,0,0,52,cameron-carson-1
244,Connor Lytton,Boston College,ACC,11,0,0,0,0,0,0,0,0,24,9,0,0,51,connor-lytton-1
245,Brian Battie,South Florida,American,12,8,0,0,0,0,0,0,8,0,0,1,0,50,brian-battie-1
246,Tetairoa McMillan,Arizona,Pac-12,12,0,8,0,0,0,0,0,8,0,0,1,0,50,tetairoa-mcmillan-1
247,Gavin Stewart,Georgia Tech,ACC,10,0,0,0,0,0,0,0,0,13,12,0,0,49,gavin-stewart-1
248,Daniel Davies,Navy,American,12,0,0,0,0,0,0,0,0,19,10,0,0,49,daniel-davies-1
249,Keylon Stokes,Tulsa,American,12,0,8,0,0,0,0,0,8,0,0,0,0,48,keylon-stokes-1
250,CJ Donaldson,West Virginia,Big 12,7,8,0,0,0,0,0,0,8,0,0,0,0,48,cj-donaldson-1
251,Josh Henderson,Indiana,Big Ten,12,4,4,0,0,0,0,0,8,0,0,0,0,48,josh-henderson-2
252,Larry McCammon III,Florida Atlantic,CUSA,12,7,1,0,0,0,0,0,8,0,0,0,0,48,larry-mccammon-iii-1
253,Clyde Price,Akron,MAC,12,7,1,0,0,0,0,0,8,0,0,0,0,48,clyde-price-1
254,Re'Mahn Davis,Vanderbilt,SEC,12,5,3,0,0,0,0,0,8,0,0,0,0,48,remahn-davis-1
255,Percy Agyei-Obese,James Madison,Sun Belt,10,8,0,0,0,0,0,0,8,0,0,0,0,48,percy-agyei-obese-1
256,Kris Thornton,James Madison,Sun Belt,11,0,7,0,0,0,0,0,7,0,0,1,0,44,kris-thornton-1
257,William Ross,Virginia Tech,ACC,9,0,0,0,0,0,0,0,0,20,8,0,0,44,william-ross-1
