Rk,Player,School,Conf,G,Punts,Yds,Avg,Player-additional
91,Luke Akers,Northwestern,Big Ten,12,45,1846,41.0,luke-akers-1
92,Seamus O'Kelly,Texas State,Sun Belt,12,73,2978,40.8,seamus-okelly-1
93,Tom Foley,Northern Illinois,MAC,12,47,1917,40.8,tom-foley-1
94,Trent Carrizosa,Colorado,Pac-12,9,46,1877,40.8,trent-carrizosa-1
95,Ivan Mora*,Wake Forest,ACC,12,40,1630,40.8,ivan-mora-1
96,Matthew Shipley,Hawaii,MWC,13,63,2567,40.7,matthew-shipley-1
97,Noah Gettman,Akron,MAC,12,61,2478,40.6,noah-gettman-1
98,Mark Crawford*,Minnesota,Big Ten,13,46,1868,40.6,mark-crawford-4
99,Austin McCready,Louisiana Tech,CUSA,10,34,1380,40.6,austin-mccready-1
100,Bernardo Rodriguez*,North Texas,CUSA,14,53,2147,40.5,bernardo-rodriguez-1
101,Josh Carlson*,New Mexico State,Ind,12,55,2222,40.4,josh-carlson-1
102,Luke Larsen*,East Carolina,American,13,44,1779,40.4,luke-larsen-1
103,Josh Smith,Kent State,MAC,12,43,1737,40.4,josh-smith-19
104,George Georgopoulos*,Mississippi State,SEC,13,36,1453,40.4,george-georgopoulos-1
105,Mackenzie Morgan,Temple,American,12,58,2320,40.0,mackenzie-morgan-1
106,Jordy Sandy*,TCU,Big 12,15,63,2512,39.9,jordy-sandy-1
107,Reis Vernon*,Kansas,Big 12,12,34,1357,39.9,reis-vernon-1
108,George Caratan*,Connecticut,Ind,13,65,2589,39.8,george-caratan-2
109,Hugh Robertson*,Illinois,Big Ten,13,60,2388,39.8,hugh-robertson-1
110,Max Von Marburg*,Syracuse,ACC,12,52,2071,39.8,max-von-marburg-1
111,Jack Bouwmeester*,Utah,Pac-12,14,39,1528,39.2,jack-bouwmeester-1
112,Jonathon Batzke*,Toledo,MAC,14,66,2581,39.1,jonathon-batzke-1
113,Paxton Brooks*,Tennessee,SEC,13,38,1486,39.1,paxton-brooks-1
114,Paddy Turner,Colorado State,MWC,12,65,2534,39.0,paddy-turner-1
115,Clayton Howell,Appalachian State,Sun Belt,12,42,1631,38.8,clayton-howell-1
116,Evan Crenshaw*,Coastal Carolina,Sun Belt,13,51,1975,38.7,evan-crenshaw-1
117,Sami Sir*,Bowling Green State,MAC,13,68,2621,38.5,sami-sir-1
118,John McConnell*,Marshall,Sun Belt,13,70,2685,38.4,john-mcconnell-2
119,Billy Boehlke,Army,Ind,12,42,1603,38.2,billy-boehlke-1
120,Max Fletcher*,Arkansas,SEC,9,38,1424,37.5,max-fletcher-1
121,Jack Wilson*,Ohio,MAC,13,42,1566,37.3,jack-wilson-4
122,CJ Kolodziey,Massachusetts,Ind,12,79,2873,36.4,cj-kolodziey-1
