2,45,DET,Brian Branch,DB,21,,0,0,0,,,,,,,,,,,,,,,,,,Alabama,College Stats,BranBr00
2,46,NWE,Keion White,DL,24,,0,0,0,,,,,,,,,,,,,,,,,,Georgia Tech,College Stats,WhitKe03
2,47,WAS,Jartavius Martin,DB,23,,0,0,0,,,,,,,,,,,,,,,,,,Illinois,College Stats,MartJa04
2,48,TAM,Cody Mauch,T,24,,0,0,0,,,,,,,,,,,,,,,,,,North Dakota St.,,MaucCo00
2,49,PIT,Keeanu Benton,NT,22,,0,0,0,,,,,,,,,,,,,,,,,,Wisconsin,College Stats,BentKe00
2,50,GNB,Jayden Reed,WR,23,,0,0,0,,,,,,,,,,,,,,,,,,Michigan St.,College Stats,ReedJa03
2,51,MIA,Cam Smith,DB,22,,0,0,0,,,,,,,,,,,,,,,,,,South Carolina,College Stats,SmitCa02
2,52,SEA,Zach Charbonnet,RB,22,,0,0,0,,,,,,,,,,,,,,,,,,UCLA,College Stats,CharZa00
2,53,CHI,Gervon Dexter Sr.,DL,21,,0,0,0,,,,,,,,,,,,,,,,,,Florida,College Stats,DextGe00
2,54,LAC,Tuli Tuipulotu,DL,21,,0,0,0,,,,,,,,,,,,,,,,,,USC,College Stats,TuipTu00
2,55,KAN,Rashee Rice,WR,23,,0,0,0,,,,,,,,,,,,,,,,,,SMU,College Stats,RiceRa01
2,56,CHI,Tyrique Stevenson,CB,23,,0,0,0,,,,,,,,,,,,,,,,,,Miami (FL),College Stats,StevTy01
2,57,NYG,John Michael Schmitz,OL,24,,0,0,0,,,,,,,,,,,,,,,,,,Minnesota,,MichJo00
2,58,DAL,Luke Schoonmaker,TE,24,,0,0,0,,,,,,,,,,,,,,,,,,Michigan,College Stats,SchoLu00
2,59,BUF,O'Cyrus Torrence,OL,23,,0,0,0,,,,,,,,,,,,,,,,,,Florida,College Stats,TorrOC00
2,60,CIN,DJ Turner II,DB,22,,0,0,0,,,,,,,,,,,,,,,,,,Michigan,College Stats,TurnDJ01
2,61,JAX,Brenton Strange,TE,22,,0,0,0,,,,,,,,,,,,,,,,,,Penn St.,College Stats,StraBr00
2,62,HOU,Juice Scruggs,OL,23,,0,0,0,,,,,,,,,,,,,,,,,,Penn St.,College Stats,ScruJu00
