,,,,Passing,Passing,Passing,Passing,Passing,Rushing,Rushing,Rushing,Rushing,Total Offense,Total Offense,Total Offense,First Downs,First Downs,First Downs,First Downs,Penalties,Penalties,Turnovers,Turnovers,Turnovers
Rk,School,G,Pts,Cmp,Att,Pct,Yds,TD,Att,Yds,Avg,TD,Plays,Yds,Avg,Pass,Rush,Pen,Tot,No.,Yds,Fum,Int,TO
98,Brigham Young,13,29.5,21.0,31.4,66.9,234.3,1.9,38.2,173.8,4.6,1.7,69.5,408.1,5.9,10.6,9.8,2.2,22.5,5.3,48.1,0.3,0.6,0.9
99,Oklahoma,13,30.0,23.8,38.4,61.9,273.5,1.5,41.8,187.5,4.5,2.2,80.2,461.0,5.7,13.3,10.7,1.8,25.8,4.9,40.6,0.3,1.3,1.6
100,Boston College,12,30.3,17.1,29.0,58.9,211.2,1.6,38.2,166.7,4.4,2.1,67.2,377.8,5.6,9.7,8.3,2.1,20.0,6.8,51.9,0.7,0.6,1.3
101,Arkansas,13,30.6,21.2,34.5,61.2,294.7,1.8,37.5,170.5,4.6,2.0,72.0,465.2,6.5,12.0,8.6,2.1,22.7,7.2,59.0,0.7,0.7,1.4
102,North Carolina,14,30.8,22.6,34.4,65.8,271.3,1.9,36.6,165.2,4.5,2.1,71.1,436.5,6.1,12.1,8.9,2.1,23.0,6.3,51.4,0.4,0.6,1.0
103,Nevada,12,30.9,17.8,29.7,60.1,231.6,1.4,38.2,164.6,4.3,1.9,67.8,396.2,5.8,9.9,7.8,1.9,19.6,8.4,72.5,0.7,0.9,1.6
104,Massachusetts,12,31.1,11.9,22.1,54.0,175.3,1.4,38.8,194.3,5.0,2.4,60.9,369.6,6.1,7.3,8.6,3.0,18.9,5.6,46.9,0.7,0.8,1.4
105,Georgia State,12,31.2,18.1,30.0,60.3,228.8,1.8,39.7,170.6,4.3,1.8,69.7,399.3,5.7,9.3,10.3,2.4,22.1,5.3,51.4,1.0,1.1,2.1
106,Utah State,13,31.2,15.7,28.6,54.8,205.0,2.1,40.8,194.2,4.8,1.5,69.4,399.2,5.8,9.2,10.0,2.2,21.4,6.9,62.0,0.5,0.8,1.4
107,Arizona State,12,31.4,20.5,33.8,60.6,233.4,1.2,36.3,188.1,5.2,2.6,70.1,421.5,6.0,11.5,10.0,2.5,24.0,5.6,54.5,0.1,0.9,1.0
108,Arkansas State,12,31.4,17.7,29.3,60.4,242.7,2.1,40.3,162.4,4.0,1.9,69.6,405.1,5.8,9.2,9.5,2.1,20.8,6.5,56.9,0.5,0.5,1.0
109,Georgia Southern,13,31.6,19.5,33.3,58.7,256.8,1.5,41.7,230.8,5.5,2.2,75.0,487.7,6.5,10.8,12.5,1.2,24.5,7.0,62.8,0.4,0.8,1.2
110,North Texas,14,31.7,22.1,34.8,63.4,262.1,1.7,40.9,197.8,4.8,1.9,75.6,459.9,6.1,11.6,10.6,1.1,23.4,6.1,55.1,0.6,0.6,1.1
111,Coastal Carolina,13,31.8,19.6,30.9,63.4,283.6,2.2,33.8,133.5,4.0,1.7,64.7,417.2,6.4,11.9,7.1,1.7,20.7,6.6,60.4,1.0,0.7,1.7
112,Houston,13,32.2,23.4,36.8,63.5,278.6,2.5,34.5,143.2,4.1,1.4,71.4,421.8,5.9,12.5,8.5,2.3,23.3,3.2,30.5,0.5,0.6,1.1
113,Stanford,12,32.2,16.9,29.3,57.8,209.7,1.8,36.9,224.4,6.1,2.1,66.2,434.1,6.6,8.9,11.3,1.9,22.1,6.3,60.0,0.4,0.5,0.9
114,Bowling Green State,13,32.5,21.6,33.4,64.7,250.7,2.2,38.8,168.9,4.4,1.7,72.2,419.6,5.8,11.2,8.8,1.5,21.6,5.9,51.1,1.0,0.8,1.8
