Darius Joiner,DB,61,35,96,4.0,29,5,2,3,3,0,2
Josh Chandler-Semedo,LB,64,32,96,3.5,28,1,1,-1,-1,0,0
Keye Thompson,LB,45,51,96,1.5,10,3,1,0,0,0,1
John Marshall,LB,44,52,96,11.5,77,7,1,0,0,0,2
Mason Cobb,LB,58,38,96,2.0,2,1,1,13,13,0,1
Marvin Pierre,LB,56,40,96,1.5,7,2,1,33,33,1,2
Jaquan Amos,S,61,34,95,0.5,5,4,1,31,31,0,0
Cal Wallerstedt,LB,32,63,95,8.0,43,1,0,0,0,0,1
DeMarvion Overshown,LB,49,46,95,4.0,19,5,0,0,0,0,0
JT Killen,LB,33,62,95,2.5,20,3,0,0,0,0,1
Maema Njongmeta,LB,53,42,95,3.5,26,1,1,6,6,0,0
Demetrius Hill,DB,51,44,95,1.0,3,2,1,0,0,0,3
Henry To'oTo'o,LB,45,49,94,2.5,15,0,0,0,0,0,0
Rich Miller,LB,56,38,94,1.0,4,0,1,37,37,0,0
Jordan Riley,DB,60,34,94,1.0,1,12,0,0,0,0,0
Troy Brown,LB,44,49,93,0.5,5,5,0,0,0,0,1
Hunter Reynolds,S,57,36,93,0.0,0,7,3,6,6,0,0
Shaka Heyward,LB,48,45,93,2.0,18,6,2,8,8,0,0
Zaire Barnes,LB,60,33,93,1.0,9,8,1,12,12,0,1
Jerrick Reed II,S,50,43,93,0.0,0,11,1,0,0,0,2
Bumper Pool,LB,37,55,92,2.0,16,3,0,0,0,0,0
Lee Kpogba,LB,44,48,92,3.5,19,0,0,0,0,0,0
Owen Pappoe,LB,51,41,92,2.5,18,3,1,0,0,0,2
Kyle Moretti,LB,58,34,92,3.0,30,2,0,0,0,0,0
Morrell Osling III,DB,63,28,91,0.0,0,3,0,0,0,0,0
Seth Benson,LB,42,49,91,1.0,5,0,1,0,0,0,0
Chase Kline,LB,41,50,91,1.0,10,3,0,0,0,0,0
Darius Muasau,LB,42,49,91,1.0,9,2,2,5,5,0,1
SirVocea Dennis,LB,42,49,91,7.0,59,3,1,67,67,0,2
Kobe Hylton,S,54,37,91,0.5,4,3,0,0,0,0,2
DaShaun White,LB,43,47,90,2.0,8,6,2,0,0,0,0
Larry Brooks,S,62,28,90,0.0,0,3,2,7,7,0,1
Khoury Bethley,DB,62,28,90,1.0,8,2,0,0,0,0,2
Jamal Ligon,LB,43,47,90,1.0,7,1,0,0,0,0,2
Kosi Eldridge,LB,60,30,90,2.5,20,1,1,0,0,0,0
Brian Branch,S,58,32,90,3.0,20,7,2,2,2,0,0
Momo Sanogo,LB,44,45,89,4.5,35,0,0,0,0,0,0
Joe Sparacio,LB,42,47,89,1.0,6,1,1,13,13,0,0
Micah Baskerville,LB,44,45,89,1.0,6,8,1,29,29,1,0
Jeremiah Trotter Jr.,LB,49,40,89,6.5,27,5,2,35,35,1,1
Dillon Doyle,LB,45,43,88,0.0,0,2,2,11,9,0,0
Mariano Sori-Marin,LB,45,43,88,1.5,9,3,0,0,0,0,0
Marlowe Wax,LB,55,33,88,4.5,31,2,0,0,0,0,2
Ian Swenson,LB,42,45,87,0.5,1,0,1,0,0,0,1
Santrell Latham,LB,35,52,87,4.0,32,4,0,0,0,0,2
Sean-Thomas Faulkner,LB,43,44,87,0.0,0,3,0,0,0,0,0
Vinny DePalma,LB,49,38,87,1.0,6,0,0,0,0,0,1
Deion Jennings,LB,49,38,87,1.0,8,6,0,0,0,0,0
Xander Mueller,LB,53,34,87,3.0,16,2,2,0,0,0,0
Malik Dixon-Williams,DB,48,39,87,0.0,0,6,2,0,0,0,0
Austin Moore,LB,57,30,87,1.5,6,4,1,0,0,0,2
Daylen Gill,LB,36,51,87,4.5,24,3,0,0,0,0,1
Johnny Hodges,LB,45,42,87,2.0,16,1,0,0,0,0,0
Julius Wood,S,38,49,87,0.0,0,4,2,45,47,1,2
Kendarin Ray,S,55,31,86,0.0,0,5,1,23,23,0,3
Antavious Lane,S,62,24,86,0.0,0,0,2,13,13,0,2
Levelle Bailey,LB,54,32,86,0.0,0,6,0,0,0,0,1
Jordan Magee,LB,50,36,86,4.5,34,3,0,0,0,0,1
Luke Reimer,LB,38,48,86,1.0,4,5,1,0,0,0,0
R'Tarriun Johnson,S,53,33,86,2.0,21,1,1,30,30,0,1
Adari Haulcy,DB,38,48,86,0.0,0,3,2,38,38,0,2
Jon-Michael Terry,LB,43,42,85,1.5,14,0,0,0,0,0,0
Daniel Scott,S,57,28,85,0.0,0,4,3,59,40,0,2
Jimmy Phillips Jr.,LB,50,35,85,1.0,2,5,0,0,0,0,0
Logan Taylor,LB,49,36,85,1.0,7,0,1,11,11,0,0
Aaron Casey,LB,48,37,85,1.5,11,2,0,0,0,0,2
Cole Pearce,LB,48,37,85,5.0,33,5,1,0,0,0,0
Beau Brade,DB,55,30,85,0.0,0,5,2,13,13,0,2
Michael Shawcroft,LB,50,35,85,6.5,48,4,0,0,0,0,1
Trey Jones,DB,47,38,85,0.0,0,3,2,0,0,0,0
Decamerion Richardson,CB,50,35,85,0.0,0,3,0,0,0,0,0
Nick Emmanwori,DB,62,23,85,0.0,0,1,0,0,0,0,0
Mike Smith Jr.,LB,45,40,85,0.5,3,4,1,22,22,0,3
Chris Bacon,S,58,26,84,0.0,0,1,2,56,39,0,1
Donavan Mutin,LB,42,42,84,0.0,0,4,0,0,0,0,1
Otis Reese IV,S,37,47,84,3.0,23,4,1,1,1,0,0
Tatum Bethune,LB,43,41,84,3.0,14,2,0,0,0,0,0
Khadry Jackson,LB,38,46,84,1.0,6,2,1,43,43,1,0
Mark Perry,S,59,25,84,0.0,0,2,0,0,0,0,0
Rashad Torrence II,S,50,34,84,0.0,0,1,0,0,0,0,1
Marquel Broughton,DB,50,34,84,0.0,0,5,3,41,27,0,2
Jordan Carmouche,LB,32,51,83,1.0,6,1,0,0,0,0,0
Merlin Robertson,LB,34,49,83,2.5,15,1,0,0,0,0,1
Tanner Ingle,S,43,40,83,0.5,1,2,2,0,0,0,0
Payton Wilson,LB,39,44,83,4.5,43,3,1,0,0,0,0
Christian Izien,S,52,31,83,1.5,13,5,0,0,0,0,0
Omar Speights,LB,39,44,83,0.0,0,1,0,0,0,0,0
Cole Bishop,S,47,36,83,1.5,13,3,1,0,0,0,0
JoJo Evans,DB,55,28,83,0.5,7,2,1,29,29,0,1
Sione Tupou,LB,40,42,82,1.5,10,3,2,6,6,0,1
Isaiah Moore,LB,40,42,82,3.0,22,3,0,0,0,0,0
Alex Cook,S,56,26,82,0.0,0,1,0,0,0,0,0
Dax Hollifield,LB,34,48,82,2.0,20,6,0,0,0,0,1
Yvandy Rigby,LB,51,31,82,2.0,5,3,0,0,0,0,1
JD Bertrand,LB,45,37,82,2.0,16,2,0,0,0,0,0
Jerrin Thompson,DB,53,29,82,0.0,0,7,1,0,0,0,0
Maxen Hook,S,42,40,82,1.0,8,4,2,16,16,0,0
Mikel Jones,LB,47,35,82,4.0,27,0,0,0,0,0,1
Jamoi Hodge,LB,45,37,82,4.5,26,2,1,0,0,0,0
Alfahiym Walcott,DB,42,40,82,2.0,20,5,1,4,4,0,3
London Harris,LB,38,43,81,2.0,11,2,0,0,0,0,2
Trey Dean,S,47,34,81,0.5,0,4,0,0,0,0,0
Taurus Jones,LB,34,47,81,1.0,9,4,1,2,2,0,1
Jaylon Carlies,DB,60,21,81,1.0,3,4,3,14,14,0,1
Melique Straker,LB,39,42,81,2.0,7,2,0,0,0,0,1
Bentlee Sanders,DB,64,16,80,0.0,0,4,5,34,34,1,3
Avery Young,DB,46,34,80,1.0,5,4,1,15,15,0,1
Kitan Oladapo,DB,48,32,80,2.5,28,6,0,0,0,0,0
Jaden Voisin,S,44,36,80,0.0,0,5,2,44,30,0,1
Amari Burney,LB,41,38,79,4.0,24,4,2,0,0,0,2
Jaxen Turner,DB,54,25,79,1.0,1,1,2,48,28,0,2
Dee Winters,LB,48,31,79,7.5,40,2,1,29,29,1,0
Max Williams,S,49,30,79,0.0,0,5,2,32,32,0,2
Trevor Woods,S,65,14,79,0.0,0,3,1,2,2,0,2
Colin Ramos,LB,34,45,79,4.0,26,0,1,5,5,0,2
Jerry Roberts,LB,34,44,78,0.0,0,0,0,0,0,0,1
Bralen Trahan,S,35,43,78,0.0,0,3,4,71,46,0,1
Penei Pavihi,LB,47,31,78,2.0,15,1,1,50,50,1,0
DJ Taylor,LB,39,39,78,1.5,3,1,2,26,24,0,0
Ty Van Fossen,LB,29,49,78,0.5,0,4,0,0,0,0,2
R.J. Hubert,S,56,22,78,0.0,0,2,3,138,70,1,2
Tysheem Johnson,S,38,40,78,0.0,0,2,0,0,0,0,0
Shane Lee,LB,52,26,78,3.5,25,1,2,41,40,1,0
CJ Brown,S,38,40,78,0.0,0,5,1,29,29,0,1
Mazin Richards,DL,55,23,78,7.5,54,1,0,0,0,0,0
Wylan Free,DB,47,30,77,0.0,0,2,0,0,0,0,0
Zack Woodard,LB,47,30,77,2.0,14,0,0,0,0,0,0
Tory Spears,S,41,36,77,0.5,2,3,1,94,94,1,1
Quindell Johnson,S,52,25,77,0.0,0,4,4,19,15,0,2
Steele Chambers,LB,45,32,77,2.0,15,2,2,27,15,0,0
Darren Anders,LB,39,38,77,1.5,13,4,0,0,0,0,2
Greg Penn III,LB,44,33,77,0.0,0,2,0,0,0,0,0
Kyrei Fisher-Morris,LB,39,38,77,1.5,14,5,1,0,0,0,0
Corvin Moment,LB,36,40,76,6.5,43,1,0,0,0,0,0
Sherrod Greene,LB,37,39,76,2.5,22,1,1,26,26,0,0
Hugh Davis,LB,34,42,76,1.5,6,3,0,0,0,0,0
Teldrick Ross,CB,54,22,76,0.0,0,18,2,12,12,0,0
Jaden Harris,LB,39,37,76,2.0,10,0,1,0,0,0,1
Cam'Ron Carter,LB,27,49,76,0.5,0,0,1,39,39,0,0
Xavier Benson,LB,36,40,76,0.0,0,2,0,0,0,0,0
Bryce Houston,LB,40,36,76,5.5,49,2,0,0,0,0,1
Christian Young,S,47,29,76,0.5,2,2,0,0,0,0,0
Levani Damuni,LB,31,45,76,1.0,5,2,1,0,0,0,2
AJ Finley,S,46,30,76,0.0,0,2,2,19,19,0,1
Craig Woodson,DB,54,22,76,0.0,0,3,2,41,39,1,1
Geoffrey Cantin-Arku,LB,41,35,76,1.5,7,1,0,0,0,0,0
Smael Mondon Jr.,LB,49,27,76,1.0,10,1,1,3,3,0,0
Aaron Beasley,LB,39,37,76,3.0,25,3,0,0,0,0,0
Trey Kiser,LB,54,22,76,2.0,20,1,0,0,0,0,0
Ventrell Miller,LB,34,41,75,0.0,0,2,0,0,0,0,2
Chris Conti,LB,26,49,75,1.0,9,2,0,0,0,0,0
Alex Odom,S,44,31,75,0.0,0,2,2,21,21,0,0
Cooper DeJean,DB,59,16,75,0.0,0,8,5,91,45,3,0
Jaden Hicks,DB,45,30,75,1.0,2,6,1,0,0,0,0
Bryant Fitzgerald,DB,45,29,74,0.5,1,1,1,0,0,0,1
Alvin Floyd,S,40,34,74,2.0,13,5,1,43,43,0,1
Kris Moncrief,LB,31,43,74,2.5,11,0,1,0,0,0,0
Drake Cheatum,S,43,31,74,0.0,0,2,1,1,1,0,2
Myron Morrison,LB,37,37,74,1.5,13,3,2,16,16,0,0
Jalyn Phillips,S,42,32,74,0.0,0,3,1,2,2,0,0
Nick Ross,S,44,30,74,0.0,0,2,1,0,0,0,1
Lathan Ransom,S,49,25,74,1.5,11,3,1,0,0,0,1
Kam Arnold,LB,37,37,74,1.5,9,2,2,49,49,0,0
Jaylen Stinson,S,44,30,74,1.0,1,1,2,28,28,0,1
Jahdae Barron,DB,42,32,74,1.0,6,3,2,50,44,1,0
