,,,,,Rushing,Rushing,Rushing,Rushing,Receiving,Receiving,Receiving,Receiving,Scrimmage,Scrimmage,Scrimmage,Scrimmage,-additional
Rk,Player,School,Conf,G,Att,Yds,Avg,TD,Rec,Yds,Avg,TD,Plays,Yds,Avg,TD,-9999
135,Deshaun Fenwick*,Oregon State,Pac-12,10,114,553,4.9,7,4,15,3.8,0,118,568,4.8,7,deshaun-fenwick-1
136,Jevyon Ducker*,Memphis,American,13,110,544,4.9,7,12,103,8.6,0,122,647,5.3,7,jevyon-ducker-1
137,Cameron Davis*,Washington,Pac-12,11,107,522,4.9,13,19,137,7.2,0,126,659,5.2,13,cameron-davis-3
138,Lawrance Toafili*,Florida State,ACC,13,93,457,4.9,5,24,268,11.2,1,117,725,6.2,6,lawrance-toafili-1
139,Aidan Robbins,UNLV,MWC,11,209,1009,4.8,9,23,125,5.4,1,232,1134,4.9,10,aidan-robbins-1
140,Jayden Daniels*,LSU,SEC,14,186,885,4.8,11,1,5,5.0,1,187,890,4.8,12,jayden-daniels-1
141,Avery Morrow,Colorado State,MWC,12,173,834,4.8,4,18,63,3.5,0,191,897,4.7,4,avery-morrow-1
142,Kairee Robinson*,San Jose State,MWC,12,157,752,4.8,10,26,144,5.5,0,183,896,4.9,10,kairee-robinson-1
143,Tavion Thomas*,Utah,Pac-12,10,142,687,4.8,7,6,43,7.2,0,148,730,4.9,7,tavion-thomas-1
144,Jaxson Dart*,Ole Miss,SEC,13,128,614,4.8,1,0,0,,0,128,614,4.8,1,jaxson-dart-1
145,Star Thomas*,New Mexico State,Ind,13,107,518,4.8,5,12,151,12.6,3,119,669,5.6,8,star-thomas-1
146,Brandon Campbell*,Houston,American,10,90,435,4.8,4,15,90,6.0,0,105,525,5.0,4,brandon-campbell-4
147,Dontae Smith,Georgia Tech,ACC,12,87,420,4.8,5,19,125,6.6,0,106,545,5.1,5,dontae-smith-1
148,AJ Green*,Arkansas,SEC,13,87,414,4.8,3,6,75,12.5,0,93,489,5.3,3,aj-green-6
149,Daetrich Harrington,Appalachian State,Sun Belt,12,81,389,4.8,4,4,43,10.8,0,85,432,5.1,4,daetrich-harrington-1
150,Kaelon Black,James Madison,Sun Belt,9,69,333,4.8,3,17,177,10.4,2,86,510,5.9,5,kaelon-black-1
151,Marquez Cooper,Kent State,MAC,12,285,1326,4.7,13,8,94,11.8,0,293,1420,4.8,13,marquez-cooper-1
152,Samson Evans*,Eastern Michigan,MAC,12,249,1166,4.7,15,15,93,6.2,0,264,1259,4.8,15,samson-evans-1
