,,,,,Rushing,Rushing,Rushing,Rushing,Receiving,Receiving,Receiving,Receiving,Scrimmage,Scrimmage,Scrimmage,Scrimmage,-additional
Rk,Player,School,Conf,G,Att,Yds,Avg,TD,Rec,Yds,Avg,TD,Plays,Yds,Avg,TD,-9999
220,Ta'Zhawn Henry*,Houston,American,9,88,359,4.1,3,21,246,11.7,1,109,605,5.6,4,tazhawn-henry-1
221,Jaren Hall*,Brigham Young,Ind,12,86,350,4.1,3,2,28,14.0,1,88,378,4.3,4,jaren-hall-1
222,Jakobi Buchanan,Army,Ind,11,82,337,4.1,6,0,0,,0,82,337,4.1,6,jakobi-buchanan-1
223,Jordan Houston*,North Carolina State,ACC,12,136,544,4.0,0,25,213,8.5,1,161,757,4.7,1,jordan-houston-1
224,Christian Turner*,Wake Forest,ACC,12,128,516,4.0,7,5,39,7.8,1,133,555,4.2,8,christian-turner-1
225,Isaiah Bowser*,UCF,American,14,205,799,3.9,16,14,185,13.2,0,219,984,4.5,16,isaiah-bowser-1
226,Casey Filkins,Stanford,Pac-12,7,122,478,3.9,4,17,205,12.1,1,139,683,4.9,5,casey-filkins-1
227,Latrele Palmer,James Madison,Sun Belt,11,101,398,3.9,5,6,47,7.8,0,107,445,4.2,5,latrele-palmer-1
228,Xavier Arline,Navy,American,9,96,376,3.9,3,0,0,,0,96,376,3.9,3,xavier-arline-1
229,Todd Centeio,James Madison,Sun Belt,10,95,366,3.9,7,0,0,,0,95,366,3.9,7,todd-centeio-1
230,Drake Maye*,North Carolina,ACC,14,184,698,3.8,7,0,0,,0,184,698,3.8,7,drake-maye-1
231,Ellis Merriweather,Massachusetts,Ind,10,150,575,3.8,3,8,48,6.0,0,158,623,3.9,3,ellis-merriweather-1
232,D.J. Uiagalelei*,Clemson,ACC,13,142,545,3.8,7,1,6,6.0,0,143,551,3.9,7,dj-uiagalelei-1
233,Peny Boone*,Toledo,MAC,13,115,439,3.8,3,11,93,8.5,0,126,532,4.2,3,peny-boone-1
234,Gino Campiotti,Massachusetts,Ind,10,102,390,3.8,3,0,0,,0,102,390,3.8,3,gino-campiotti-2
235,Jordan Byrd*,San Diego State,MWC,13,102,390,3.8,3,10,60,6.0,1,112,450,4.0,4,jordan-byrd-1
236,Dylan Downing*,Purdue,Big Ten,12,93,351,3.8,4,12,100,8.3,0,105,451,4.3,4,dylan-downing-2
237,Tyre Shelton*,Miami (OH),MAC,11,85,321,3.8,3,8,39,4.9,0,93,360,3.9,3,tyre-shelton-1
238,Michael Pratt*,Tulane,American,13,129,478,3.7,10,0,0,,1,129,478,3.7,11,michael-pratt-1
239,Spencer Sanders*,Oklahoma State,Big 12,10,107,391,3.7,8,1,2,2.0,0,108,393,3.6,8,spencer-sanders-1
240,Brian Snead,Arkansas State,Sun Belt,8,81,299,3.7,6,9,46,5.1,0,90,345,3.8,6,brian-snead-2
241,Dominic Richardson*,Oklahoma State,Big 12,9,149,543,3.6,8,22,220,10.0,0,171,763,4.5,8,dominic-richardson-1
242,Malik Jackson,Louisiana-Monroe,Sun Belt,12,141,507,3.6,6,16,63,3.9,0,157,570,3.6,6,malik-jackson-6
243,Leshon Williams*,Iowa,Big Ten,12,116,412,3.6,2,11,78,7.1,0,127,490,3.9,2,leshon-williams-1
244,Terrence Williams*,Louisiana,Sun Belt,12,104,373,3.6,1,9,47,5.2,1,113,420,3.7,2,terrence-williams-1
245,Jalen Holston,Virginia Tech,ACC,11,90,321,3.6,5,10,66,6.6,0,100,387,3.9,5,jalen-holston-1
246,Cartevious Norton,Iowa State,Big 12,8,87,312,3.6,2,12,69,5.8,0,99,381,3.8,2,cartevious-norton-1
247,Eric Wilson Jr.,Florida International,CUSA,12,79,288,3.6,2,19,75,3.9,0,98,363,3.7,2,eric-wilson-jr-1
248,Lew Nichols,Central Michigan,MAC,9,176,616,3.5,6,21,128,6.1,0,197,744,3.8,6,lew-nichols-1
249,Johnnie Lang,Arkansas State,Sun Belt,12,119,419,3.5,3,24,238,9.9,3,143,657,4.6,6,johnnie-lang-1
250,Jamoni Jones*,New Mexico State,Ind,13,111,383,3.5,6,6,71,11.8,1,117,454,3.9,7,jamoni-jones-1
251,Dillon Gabriel*,Oklahoma,Big 12,12,89,315,3.5,6,1,13,13.0,0,90,328,3.6,6,dillon-gabriel-1
252,Kay'ron Adams,Massachusetts,Ind,11,84,297,3.5,1,2,7,3.5,0,86,304,3.5,1,kayron-adams-1
253,Caleb Williams*,USC,Pac-12,14,113,382,3.4,10,0,-2,,0,113,380,3.4,10,caleb-williams-3
254,Micah Kelly*,Toledo,MAC,13,120,398,3.3,1,12,68,5.7,1,132,466,3.5,2,micah-kelly-1
255,Jeff Sims,Georgia Tech,ACC,7,87,288,3.3,1,1,1,1.0,0,88,289,3.3,1,jeff-sims-1
256,Cam Porter,Northwestern,Big Ten,12,87,286,3.3,2,7,50,7.1,0,94,336,3.6,2,cam-porter-1
257,Max Duggan*,TCU,Big 12,15,137,423,3.1,9,1,1,1.0,0,138,424,3.1,9,max-duggan-1
258,Clyde Price,Akron,MAC,12,99,309,3.1,7,31,139,4.5,1,130,448,3.4,8,clyde-price-1
259,Garrett Shrader*,Syracuse,ACC,12,150,444,3.0,9,0,0,,0,150,444,3.0,9,garrett-shrader-1
260,Patrick Garwo,Boston College,ACC,12,132,402,3.0,3,29,241,8.3,0,161,643,4.0,3,patrick-garwo-1
261,Brennan Armstrong,Virginia,ACC,10,123,371,3.0,6,0,0,,0,123,371,3.0,6,brennan-armstrong-1
262,Zion Turner*,Connecticut,Ind,13,90,262,2.9,1,2,12,6.0,1,92,274,3.0,2,zion-turner-1
263,Doug Brumfield,UNLV,MWC,10,90,261,2.9,6,0,0,,0,90,261,2.9,6,doug-brumfield-1
264,Cooper Legas*,Utah State,MWC,10,108,303,2.8,2,0,0,,0,108,303,2.8,2,cooper-legas-1
265,N'Kosi Perry,Florida Atlantic,CUSA,12,91,259,2.8,6,0,0,,0,91,259,2.8,6,nkosi-perry-1
266,Ari Broussard*,Rice,CUSA,7,91,251,2.8,9,3,36,12.0,0,94,287,3.1,9,ari-broussard-1
267,Grayson James,Florida International,CUSA,11,79,223,2.8,3,0,0,,0,79,223,2.8,3,grayson-james-1
268,Tai Lavatai,Navy,American,8,115,309,2.7,5,1,26,26.0,1,116,335,2.9,6,tai-lavatai-1
269,Austin Reed*,Western Kentucky,CUSA,14,91,224,2.5,8,0,0,,1,91,224,2.5,9,austin-reed-2
270,Chandler Rogers,Louisiana-Monroe,Sun Belt,12,145,353,2.4,5,1,3,3.0,1,146,356,2.4,6,chandler-rogers-3
271,Demarcus Irons Jr.,Akron,MAC,10,133,314,2.4,4,0,0,,0,133,314,2.4,4,demarcus-irons-jr-1
272,Grayson McCall*,Coastal Carolina,Sun Belt,11,91,195,2.1,6,0,0,,0,91,195,2.1,6,grayson-mccall-1
273,Seth Henigan*,Memphis,American,13,146,287,2.0,4,0,0,,0,146,287,2.0,4,seth-henigan-1
274,Chevan Cordeiro*,San Jose State,MWC,12,138,265,1.9,9,1,19,19.0,0,139,284,2.0,9,chevan-cordeiro-1
275,Miles Kendrick,New Mexico,MWC,8,76,148,1.9,3,0,0,,0,76,148,1.9,3,miles-kendrick-1
276,Grant Wells,Virginia Tech,ACC,11,111,205,1.8,6,0,0,,0,111,205,1.8,6,grant-wells-1
277,Cole Snyder*,Buffalo,MAC,13,110,146,1.3,4,1,15,15.0,0,111,161,1.5,4,cole-snyder-2
278,Sam Hartman*,Wake Forest,ACC,12,102,129,1.3,1,0,0,,0,102,129,1.3,1,sam-hartman-1
279,Hunter Dekkers,Iowa State,Big 12,12,89,73,0.8,2,0,0,,0,89,73,0.8,2,hunter-dekkers-1
280,Taulia Tagovailoa*,Maryland,Big Ten,12,87,64,0.7,4,0,0,,0,87,64,0.7,4,taulia-tagovailoa-1
281,Cameron Ward*,Washington State,Pac-12,13,107,58,0.5,5,1,-13,-13.0,0,108,45,0.4,5,cameron-ward-1
282,Chase Cunningham*,Middle Tennessee State,CUSA,12,99,52,0.5,6,1,-1,-1.0,0,100,51,0.5,6,chase-cunningham-1
283,Clay Millen,Colorado State,MWC,10,100,-28,-0.3,0,1,16,16.0,0,101,-12,-0.1,0,clay-millen-1
